system:index,Area_km2,BareLand,Builtup,Cropland,District,Grassland,Grid_ID,Mangroves,MossLichen,Shrubland,SnowIce,TreeCover,Water,Wetland,.geo
"00010000000000001803_1866,604",20.08565878138552,6.116992879848856,1.8884970311977847,54.73680829035506,Deoria,7.449516432601581,GRID_000012,0,0,8.913668654711882E-4,0,6.490585706505837,23.316708292625414,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9330000.0,3020000.0],[9335000.0,3020000.0],[9335000.0,3025000.0],[9330000.0,3025000.0],[9330000.0,3020000.0]]]}"
"00010000000000001803_1867,604",20.085658781384637,1.0763954011831673,4.859585337182854,74.6209693985191,Deoria,2.1064135086893145,GRID_000013,0,0,8.913668654711912E-4,0,6.911777523779008,10.423967463781104,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9335000.0,3020000.0],[9340000.0,3020000.0],[9340000.0,3025000.0],[9335000.0,3025000.0],[9335000.0,3020000.0]]]}"
"00010000000000001803_1868,604",20.085658781384755,0.07398344983410886,3.9215632813060006,85.69768831344106,Deoria,1.4638743253816617,GRID_000014,0,0,0,0,8.81481257377482,0.025403955665928946,0.0026741005964135735,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9340000.0,3020000.0],[9345000.0,3020000.0],[9345000.0,3025000.0],[9340000.0,3025000.0],[9340000.0,3020000.0]]]}"
"00010000000000001803_1869,604",20.085658781390997,0.2180842641956158,9.202410346888689,77.27039311498444,Deoria,1.810390572666333,GRID_000015,0,0,0.001337050298206784,0,11.216382120515982,0.280556847017973,4.456834327355947E-4,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9345000.0,3020000.0],[9350000.0,3020000.0],[9350000.0,3025000.0],[9345000.0,3025000.0],[9345000.0,3020000.0]]]}"
"00010000000000001803_1870,604",20.0856587813917,0.06870865532432059,5.8882139610457775,76.23442382281765,Deoria,2.8008949113596,GRID_000016,0,0,4.4568343273559594E-4,0,11.794363621647348,2.4280885848780263,0.7848607594945572,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9350000.0,3020000.0],[9355000.0,3020000.0],[9355000.0,3025000.0],[9350000.0,3025000.0],[9350000.0,3020000.0]]]}"
"00010000000000001803_1861,605",20.071755470513235,7.0432100168754825,4.001003786057162,48.75442566474598,Deoria,4.749081465807441,GRID_000017,0,0,0.0017837313210978666,0,7.701338672868915,27.748710729493638,4.4593283027446665E-4,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9305000.0,3025000.0],[9310000.0,3025000.0],[9310000.0,3030000.0],[9305000.0,3030000.0],[9305000.0,3025000.0]]]}"
"00010000000000001803_1862,605",20.071755470507906,1.5947764652390946,0.9815034057026927,71.00219818653983,Deoria,9.89437687444807,GRID_000018,0,0,4.4593283027446676E-4,0,10.443514300453797,6.083184834786246,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9310000.0,3025000.0],[9315000.0,3025000.0],[9315000.0,3030000.0],[9310000.0,3030000.0],[9310000.0,3025000.0]]]}"
"00010000000000001803_1863,605",20.07175547050737,0.09632149133928482,2.5366233266589115,81.08282109349724,Deoria,1.2046709278025987,GRID_000019,0,0,0,0,14.775389754037448,0.3041734066645097,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9315000.0,3025000.0],[9320000.0,3025000.0],[9320000.0,3030000.0],[9315000.0,3030000.0],[9315000.0,3025000.0]]]}"
"00010000000000001803_1864,605",20.07175547050737,7.883211066129203,0.12291482682941744,50.84675299693101,Deoria,7.052378745617176,GRID_000020,0,0,0.002675596981646801,0,2.8414560144097436,31.250610753101792,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9320000.0,3025000.0],[9325000.0,3025000.0],[9325000.0,3030000.0],[9320000.0,3030000.0],[9320000.0,3025000.0]]]}"
"00010000000000001803_1865,605",20.07175547050694,2.689163832224331,0.6401392009932949,58.985836823559126,Deoria,8.225454895205795,GRID_000021,0,0,0.0013377984908234048,0,3.221347066898675,26.236720382627958,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9325000.0,3025000.0],[9330000.0,3025000.0],[9330000.0,3030000.0],[9325000.0,3030000.0],[9325000.0,3025000.0]]]}"
