system:index,Area_km2,BareLand,Builtup,Cropland,District,Grassland,Grid_ID,Mangroves,MossLichen,Shrubland,SnowIce,TreeCover,Water,Wetland,.geo
"00010000000000001803_1867,602",20.113434569303458,4.307779379012182,4.019709157605133,84.2827983754749,Deoria,1.2196881959910926,GRID_000001,0,0,0.004454342984409799,0,2.4135097602515394,3.726671033669599,0.02538975501113586,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9335000.0,3010000.0],[9340000.0,3010000.0],[9340000.0,3015000.0],[9335000.0,3015000.0],[9335000.0,3010000.0]]]}"
"00010000000000001803_1868,602",20.113434569302623,6.960571203982704,2.4516860998296868,67.67069828376785,Deoria,0.2820909210009168,GRID_000002,0,0,8.908685968819594E-4,0,2.0671819730119205,20.562426306825632,0.004454342984409798,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9340000.0,3010000.0],[9345000.0,3010000.0],[9345000.0,3015000.0],[9340000.0,3015000.0],[9340000.0,3010000.0]]]}"
"00010000000000001803_1869,602",20.11343456930915,11.71400497838331,2.886251801388704,67.13702607100748,Deoria,0.38389099960696954,GRID_000003,0,0,8.908685968819594E-4,0,1.397856674963971,16.432862570417946,0.047216035634743844,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9345000.0,3010000.0],[9350000.0,3010000.0],[9350000.0,3015000.0],[9345000.0,3015000.0],[9345000.0,3010000.0]]]}"
"00010000000000001803_1870,602",20.113434569309362,15.878270666841306,1.3454316782392217,56.73864535569244,Deoria,0.36867810821433195,GRID_000004,0,0,0,0,1.8934573562164252,23.75324511987422,0.022271714922048956,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9350000.0,3010000.0],[9355000.0,3010000.0],[9355000.0,3015000.0],[9350000.0,3015000.0],[9350000.0,3010000.0]]]}"
"00010000000000001803_1871,602",20.113434569298157,11.542538975501136,1.23518930957684,60.90537403380048,Deoria,0.5649521813179625,GRID_000005,0,0,0,0,1.0378619153674855,24.714083584436086,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9355000.0,3010000.0],[9360000.0,3010000.0],[9360000.0,3015000.0],[9355000.0,3015000.0],[9355000.0,3010000.0]]]}"
"00010000000000001803_1867,603",20.099551830430713,14.273342013964724,3.4445665947164623,54.310824863891824,Deoria,0.4862301299473037,GRID_000006,0,0,0,0,4.318822696646885,23.166213700832785,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9335000.0,3015000.0],[9340000.0,3015000.0],[9340000.0,3020000.0],[9335000.0,3020000.0],[9335000.0,3015000.0]]]}"
"00010000000000001803_1868,603",20.09955183043109,3.369730230444542,3.201198975802006,89.66290078737407,Deoria,1.3780583932675563,GRID_000007,0,0,0,0,1.5537555382719659,0.834356074839858,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9340000.0,3015000.0],[9345000.0,3015000.0],[9345000.0,3020000.0],[9340000.0,3020000.0],[9340000.0,3015000.0]]]}"
"00010000000000001803_1869,603",20.0995518304359,18.56456554604955,3.1176813975233904,64.45252772413073,Deoria,1.3098583425819896,GRID_000008,0,0,0,0,1.3615191687567152,11.193847820957618,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9345000.0,3015000.0],[9350000.0,3015000.0],[9350000.0,3020000.0],[9345000.0,3020000.0],[9345000.0,3015000.0]]]}"
"00010000000000001803_1870,603",20.09955183043563,7.914330906834699,2.569544965962025,76.86828569181425,Deoria,1.1423897370467813,GRID_000009,0,0,0,0,1.750597303178338,9.754851395163897,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9350000.0,3015000.0],[9355000.0,3015000.0],[9355000.0,3020000.0],[9350000.0,3020000.0],[9350000.0,3015000.0]]]}"
"00010000000000001803_1871,603",20.09955183042473,4.418711712735183,5.140285412169777,84.12628920484833,Deoria,0.4006693990264874,GRID_000010,0,0,8.913668498920745E-4,0,3.8740988018980858,2.014987197525145,0.024066904947086007,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9355000.0,3015000.0],[9360000.0,3015000.0],[9360000.0,3020000.0],[9355000.0,3020000.0],[9355000.0,3015000.0]]]}"
"00010000000000001803_1865,604",20.085658781385746,10.76551652551349,2.408707472777615,74.91341812818942,Deoria,0.18094747369065173,GRID_000011,0,0,0,0,1.145395935461475,10.586014464367354,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9325000.0,3020000.0],[9330000.0,3020000.0],[9330000.0,3025000.0],[9325000.0,3025000.0],[9325000.0,3020000.0]]]}"
"00010000000000001803_1866,604",20.08565878138552,17.40421944060997,1.6169290072957345,48.862017265636446,Deoria,0.14217301504265487,GRID_000012,0,0,0,0,1.2885861573976678,30.686075114017523,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9330000.0,3020000.0],[9335000.0,3020000.0],[9335000.0,3025000.0],[9330000.0,3025000.0],[9330000.0,3020000.0]]]}"
"00010000000000001803_1867,604",20.085658781384637,5.1888772306259145,4.1924391850536855,76.98195728398699,Deoria,0.1622287695157566,GRID_000013,0,0,0.002004701558226382,0,2.343545059355332,11.128947769904103,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9335000.0,3020000.0],[9340000.0,3020000.0],[9340000.0,3025000.0],[9335000.0,3025000.0],[9335000.0,3020000.0]]]}"
"00010000000000001803_1868,604",20.085658781384755,3.059948843581702,3.507105653312579,89.53529707046685,Deoria,0.18050179025791618,GRID_000014,0,0,0.0022284171636779773,0,3.714918225217265,0,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9340000.0,3020000.0],[9345000.0,3020000.0],[9345000.0,3025000.0],[9340000.0,3025000.0],[9340000.0,3020000.0]]]}"
