model,best_cv_f1_macro,best_params
logistic_regression,0.9963017177020823,"{'solver': 'lbfgs', 'penalty': 'l2', 'max_iter': 1000, 'C': 10.0}"
xgboost,0.9681880580295132,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 0.8}"
