model,variant,cv_f1_mean,cv_f1_std
logistic_regression,baseline,0.9918761584492433,0.0012766192589328581
logistic_regression,tuned,0.9963017177020823,0.00021996721041669874
xgboost,baseline,0.9669495326471231,0.004572372375691116
xgboost,tuned,0.9684112688621708,0.004455389541820564
